id,in_amount,user_id,in_wallet,out_wallet,out_amount,in_service_id,out_service_id,ext_id,proceed_at,other,external_reference,status_PENDING,status_RECEIVED,status_SUCCESS,is_verif_1,operation_id_7,operation_id_10
0.4644607843137255,6.0907890830518305e-05,0.7594095940959409,0.13608500204331836,0.13608500204331836,6.050920647977241e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.46486928104575165,1.5226859647077397e-05,0.8129151291512915,0.006129955046996322,0.006129955046996322,1.5127301555878661e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4652777777777778,1.2181457568181337e-05,0.7833948339483394,0.12464241928892522,0.12464241928892522,1.2548536431512897e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.46568627450980393,6.395193618278822e-06,0.7634686346863468,0.029015120555782592,0.029015120555782592,6.562850800090686e-06,0.7272727272727272,0.35,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4660947712418301,6.852139602775846e-05,0.7594095940959409,0.13608500204331836,0.13608500204331836,6.807285730042136e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4665032679738562,2.344944526009676e-05,0.83690036900369,0.02288516550878627,0.023293829178586023,2.3449591737857622e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.46691176470588236,1.1420107048457322e-05,0.7634686346863468,0.029015120555782592,0.029015120555782592,1.1719377690322898e-05,0.7272727272727272,0.35,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4673202614379085,6.852139602775846e-05,0.7833948339483394,0.12464241928892522,0.12464241928892522,7.058551782232411e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.46772875816993464,0.0001892484018290484,0.1745387453874539,0.2868818961994279,0.12096444626072742,2.8938578696029013e-07,0.7272727272727272,0.375,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4681372549019608,3.9590076278245885e-05,0.5520295202952029,0.033919084593379646,0.0343277482631794,3.907174979101635e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.46854575163398693,2.3677850416013963e-05,0.7634686346863468,0.029015120555782592,0.029015120555782592,2.429818218865097e-05,0.7272727272727272,0.35,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.46895424836601307,4.872492578830791e-06,0.7833948339483394,0.12464241928892522,0.12464241928892522,5.019417865881939e-06,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4693627450980392,3.0453870041557697e-05,0.7833948339483394,0.12464241928892522,0.12464241928892522,3.137134120691112e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.46977124183006536,4.872628251493406e-05,0.825461254612546,0.0008173273395995096,0.0008173273395995096,4.8726433169515374e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4701797385620915,9.136055489285278e-06,0.7634686346863468,0.029015120555782592,0.029015120555782592,9.37551551328779e-06,0.7272727272727272,0.35,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.47058823529411764,7.462757794334795e-09,0.0,0.0036779730281977932,0.009807928075194115,4.895051579892183e-06,0.2727272727272727,0.35,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4709967320261438,7.6133544498372456e-06,0.7594095940959409,0.13608500204331836,0.13608500204331836,7.563650735229704e-06,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4714052287581699,9.136055489285278e-06,0.7634686346863468,0.029015120555782592,0.029015120555782592,9.37551551328779e-06,0.7272727272727272,0.35,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.47181372549019607,1.5226859647077397e-05,0.0,0.006129955046996322,0.009807928075194115,1.592497156283191e-05,0.7272727272727272,0.35,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.47222222222222227,1.8272261725973458e-05,0.7833948339483394,0.12464241928892522,0.12464241928892522,1.882280468997897e-05,0.2545454545454545,1.0000000000000002,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.4726307189542484,7.61349012249986e-05,0.1745387453874539,0.2868818961994279,0.12096444626072742,1.1664123478712578e-07,0.7272727272727272,0.375,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
0.47303921568627455,7.61349012249986e-05,0.1745387453874539,0.2868818961994279,0.12096444626072742,1.1664123478712578e-07,0.7272727272727272,0.375,0.0004100041000410004,0.0004086636697997548,0.0004086636697997548,0.7613404168369432,0.0,0.0,1.0,1.0,1.0,0.0
